ME Entity Name,DBA,Loc Addr,Loc City,
5Seat Investments LLC,Kanna,5398 Sun Valley Blvd,Sun Valley,
"Acres Medical, LLC",Acres Medical LLC,2320 Western Ave.,Las Vegas,
Cheyenne Medical LLC,Thrive Cannabis Marketplace,2755 W Cheyenne Avenue,North Las Vegas,
Clark NMSD LLC,Canopi ,1324 S 3rd Street,Las Vegas,
Clark NMSD LLC,Canopi ,2113 N. Las Vegas Boulevard,North Las Vegas,
Clear River LLC,Nevada Medical Marijuana,1975 S. Casino Drive,Laughlin,
Clear River LLC,Nevada Medical Marijuana,3195 St. Rose Parkway Suite 212,Henderson,
Commerce Park Medical LLC,Thrive Cannabis Marketplace,1112 S Commerce Street,Las Vegas,
"CWNevada, LLC",Canopi ,6540 Blue Diamond Road,Las Vegas,
"D.H. Flamingo, Inc.",The Apothecary Shoppe,"4240 W. Flamingo Rd, #100",Las Vegas,
"Deep Roots Medical, LLC",Deep Roots Harvest,195 Willis Carrier Canyon,Mesquite,
"Desert Aire Wellness, LLC",Sahara Wellness,420 E. Sahara Ave #4632,Las Vegas,
"DIV Holdings, LLC",Jardin,2900 E Desert Inn Road #102,Las Vegas,
Euphoria Wellness LLC ,SUMMA CANNABIS,7780 South Jones Boulevard,Las Vegas,
Fidelis Holdings LLC ,Pisos,4110 S. Maryland Parkway,Las Vegas,
GBS Nevada Partners LLC ,ShowGrow,4850 South Fort Apache Road Ste 100,Las Vegas,
Global Harmony LLC,Top Notch Health Center,5630 Stephanie Street,Las Vegas,
Gravitas Nevada LTD,The Apothecarium,7885 W. Sahara #111-112,Las Vegas,
"Greenleaf Wellness, Inc.",Greenleaf Wellness,1730 Glendale Avenue,Sparks,
"GTI Nevada, LLC",Rise Dispensaries,135 Clearview Dr,Carson City,
"GTI Nevada, LLC",Rise Dispensaries,9650 Pyramid Way,Sparks,
Henderson Organic Remedies LLC,The Source,9480 S. Eastern Avenue Suites #185 and #190,Henderson,
Integral Associates LLC,Essence,2307  S Las Vegas Blvd.,Las Vegas,
Integral Associates LLC,Essence,5765 W. Tropicana Ave.,Spring Valley,
Integral Associates II LLC,Essence,"4300 E. Sunset Road, Ste. A-2, A-3",Henderson,
"Inyo Fine Cannabis Dispensary, LLC",Inyo Fine Cannabis Dispensary LLC,2520 S. Maryland Parkway #2,Las Vegas,
Just Quality LLC,Panacea Cannabis,4235 Arctic Spring Avenue,Las Vegas,
"Kynd-Strainz, LLC",Mynt Cannabis Dispensary,132 E. 2nd Street,Reno,
LivFree Wellness LLC,The Dispensary NV,5347 S. Decatur Blvd. Ste 100,Las Vegas,
LivFree Wellness LLC,The Dispensary NV,100 West Plumb Lane,Reno,
LivFree Wellness LLC,The Dispensary NV,50 N. Gibson Road,Henderson,
LVMC LLC,CannaCopia,"6332 S. Rainbow Boulevard, Suite 105",Las Vegas,
Medifarm I LLC ,Blum Reno,1085 S Virginia Street,Reno,
Medifarm LLC,Blum LV,1130 East Desert Inn,Las Vegas,
Medifarm LLC,Blum LV,3650 S. Decatur Boulevard # 6 & 7,Las Vegas,
Medifarm LLC,Blum LV,1921 Western Ave.,Las Vegas,
MM Development Company LLC ,Medizin,4850 West Sunset Road,Las Vegas,
Naturex II,Blackjack Collective,1860 Western Ave.,Las Vegas,
Naturex LLC ,Zen Leaf,9120 W. Post Road,Las Vegas,
Nevada Holistic Medicine LLC,MMJ America,4660 S. Decatur Boulevard,Las Vegas,
Nevada Organic Remedies LLC,The Source,6877 W Sahara Ave Suites 8 & 9,Las Vegas,
Nevada Pure LLC ,Shango Las Vegas,4380 Boulder Highway,Las Vegas,
Nevada Wellness Center LLC,Nevada Wellness Center,3200 S. Valley View Blvd.,Las Vegas,
Nevada Wellness Project LLC,New Amsterdam Naturals,823 S. 3rd Street,Las Vegas,
"NuLeaf Clark Dispensary, LLC",Nuleaf,430 E. Twain Ave.,Las Vegas,
NuLeaf Incline Dispensary,Nuleaf,877 Tahoe Blvd.,Incline Village,
Paradise Wellness Center LLC,Las Vegas Releaf,2242 Paradise Road,Las Vegas,
Serenity Wellness Center,Oasis Medical Cannabis,"1800 Industrial Rd., Suite 102",Las Vegas,
Silver Sage Wellness LLC ,Silver Sage Wellness,4626 W. Charleston Blvd.,Las Vegas,
"Silver State Relief, LLC",Silver State Relief,175 East Greg Street,Sparks,
"TGIG, LLC",The Grove,4647 Swenson St.,Las Vegas,
"TGIG, LLC",The Grove,1541 E. Basin Ave.,Pahrump,
The Clinic Nevada LLC ,Clinic Nevada,4310 W. Flamingo Street,Las Vegas,
"Tryke Companies Reno, LLC",Reef Dispensaries,195 E Glendale Suite 3,Sparks,
"Tryke Companies Reno, LLC",Reef Dispensaries, 5105 Sun Valley Blvd. Bldg. B,Sun Valley,
"Tryke Companies SO NV, LLC",Reef Dispensaries,3400 Western Ave.,Las Vegas,
"Tryke Companies SO NV, LLC",Reef Dispensaries,1366 W. Cheyenne Ave. Suites 110-111,North Las Vegas,
Waveseer of Las Vegas LLC,Jenny's Dispensary,5530 North Decatur,North Las Vegas,
Waveseer of Nevada LLC,Jenny's Dispensary,"10420 S. Eastern Avenue, Suite 100",Henderson,
"WSCC, Inc.",Sierra Wellness,"2765 US Highway 50 E, Suite A",Carson City,
"WSCC, Inc.",Sierra Wellness,7720 Security Circle,Reno,
