ME Entity Name,DBA,Loc City,,
3480 Hacienda Partners LLC ,Evergreen Edibles,Las Vegas,,
5Seat Investments LLC,Kanna,Carson City,,
"Acres Medical, LLc",Acres Medical LLC,Las Vegas,,
Alternative Medicine Association LC ,Alternative Medicine Association LC,Las Vegas,,
Blossum Group LLC,Blossum Group LLC,Las Vegas,,
"Cannavative Extracts, LLC",Cannavative Extracts LLC,Reno,,
"Carson City Agency Solutions, LLC",CC Agency Solutions,Carson City,,
CCLV Manufacturing Center LLC,CCLV Manufacturing Center LLC,Las Vegas,,
Circle S Farms LLC,Circle S Farms LLC,North Las Vegas,,
Clear River LLC,Nevada Medical Marijuana,Laughlin,,
"CWNevada, LLC",Canopi ,Las Vegas,,
"CWNevada, LLC",Canopi ,Pahrump,,
"D.H. Aldebaran, Inc.",DH Aldebaran,Las Vegas,,
"Deep Roots Medical, LLC",Deep Roots Harvest,Mesquite,,
Econevada LLC ,ECONEVADA LLC,North Las Vegas,,
Euphoria Wellness LLC ,SUMMA CANNABIS,Las Vegas,,
Fidelis Holdings Henderson LLC ,Green Box,North Las Vegas,,
Franklin BioScience NV LLC ,Franklin BioScience NV LLC,North Las Vegas,,
FSWFL LLC ,Green Harvest,North Las Vegas,,
Good Chemistry Nevada LLC,Good Chemistry,Reno,,
Gravitas Nevada LTD,The Apothecarium,Las Vegas,,
Green Cross Nevada LLC,Green Cross Nevada,North Las Vegas,,
Green Leaf Farms Holdings LLC ,Green Leaf Farms Holdings LLC,North Las Vegas,,
Green Therapeutics LLC,Green Therapeutics LLC,Las Vegas,,
"Greenleaf Production, Inc.",Greenleaf Production Inc,Sparks,,
GreenMart of Nevada NLV LLC ,GreenMart of Nevada NLV LLC,North Las Vegas,,
Healthcare Options for Patients Enterprises LLC,Hope,North Las Vegas,,
"High Sierra Holistics, LLC",High Sierra Holistics,Reno,,
Integral Associates LLC,Integral Associates LLC,Las Vegas,,
Just Quality LLC ,Panacea Cannabis,Las Vegas,,
"Las Vegas Wellness and Compassion, LLC",Pegasus Nevada,Las Vegas,,
Libra Wellness Center LLC ,Libra Wellness,North Las Vegas,,
"Lone Mountain Partners, LLC",Siena Cannabis,North Las Vegas,,
"LVOP Holdings, LLC","LVOP Holdings, LLC",North Las Vegas,,
"Matrix NV, LLC",Matrix NV LLC,North Las Vegas,,
MM Development Company LLC ,MM Development Company LLC,Las Vegas,,
"NCMM, LLC",NCMM LLC,Pahrump,,
"Nevada Botanical Science, Inc",Nevada Botanical Science Inc,Reno,,
Nevada Group Wellness LLC ,Nevada Group Wellness LLC,North Las Vegas,,
Nevada Medical Group LLC ,BAM - Body and Mind,Las Vegas,,
Nevada Organic Remedies LLC,Nevada Organic Remedies LLC,Las Vegas,,
Nevada Pure LLC ,Shango Las Vegas,Las Vegas,,
NevWa LLC,Grassroots,Sparks,,
NLV Organics Inc ,NLVO,North Las Vegas,,
"NNV Operations I, Inc.",Silver State Trading,Sparks,,
Nye Natural Medicinal Solutions LLC,Nye Natural Medicinal Solutions LLC,Pahrump,,
Polaris Wellness Center LLC ,POLARIS MMJ,Las Vegas,,
"Pure Tonic Concentrates, LLC",Pure Tonic Concentrates LLC,Reno,,
"Qualcan, LLC",QualCan LLC,Las Vegas,,
"Serenity Wellness Products, LLC",Serenity Wellness Products LLC,North Las Vegas,,
Silver Sage Wellness LLC ,Silver Sage Wellness,Las Vegas,,
"Silver State Cultivation, LLC",Silver State Cultivation,Sparks,,
Silver State Wellness LLC,Silver State Wellness LLC,Las Vegas,,
Tahoe-Reno Extractions LLC,Kynd Cannabis Company,Sparks,,
"TGIG, LLC",The Grove,Las Vegas,,
"THC Productions, LLC",Experience Premium Cannabis,North Las Vegas,,
The Clinic Nevada LLC ,The Clinic Nevada LLC,Las Vegas,,
TRNVP098 LLC,TapRoot Labs,North Las Vegas,,
"Tryke Companies SO NV, LLC",Reef Dispensaries,Las Vegas,,
Vegas Valley Growers LLC ,Vegas Valley Growers LLC,Las Vegas,,
Vegas Valley Growers North LLC,Vegas Valley Growers North,North Las Vegas,,
Waveseer of Las Vegas LLC,Waveseer of Las Vegas,North Las Vegas,,
Wellness & Caregivers of Nevada NLV LLC,Las Vegas Cannabis,North Las Vegas,,
"WSCC, Inc.",Sierra Wellness,Carson City,,
YMY Ventures LLC ,YMY Ventures,North Las Vegas,,
